policy,K,beta,rep_seed,episode_id,success,steps,questions_asked,team_cost
passive_aware_ask,3,2.0,3,1,True,5,3,6.5
passive_aware_ask,3,2.0,3,2,True,4,1,4.5
passive_aware_ask,3,2.0,3,3,True,5,1,5.5
passive_aware_ask,3,2.0,3,4,True,13,0,13.0
passive_aware_ask,3,2.0,3,5,True,13,0,13.0
passive_aware_ask,3,2.0,3,6,True,10,0,10.0
passive_aware_ask,3,2.0,3,7,True,11,1,11.5
passive_aware_ask,3,2.0,3,8,True,8,0,8.0
passive_aware_ask,3,2.0,3,9,True,9,0,9.0
passive_aware_ask,3,2.0,3,10,True,6,1,6.5
passive_aware_ask,3,2.0,3,11,False,15,3,16.5
passive_aware_ask,3,2.0,3,12,True,10,1,10.5
passive_aware_ask,3,2.0,3,13,True,9,0,9.0
passive_aware_ask,3,2.0,3,14,True,7,3,8.5
passive_aware_ask,3,2.0,3,15,True,7,1,7.5
passive_aware_ask,3,2.0,3,16,True,10,0,10.0
passive_aware_ask,3,2.0,3,17,True,4,1,4.5
passive_aware_ask,3,2.0,3,18,True,8,1,8.5
passive_aware_ask,3,2.0,3,19,True,11,3,12.5
passive_aware_ask,3,2.0,4,0,True,6,3,7.5
passive_aware_ask,3,2.0,4,1,True,7,2,8.0
passive_aware_ask,3,2.0,4,2,True,6,0,6.0
passive_aware_ask,3,2.0,4,3,True,14,3,15.5
passive_aware_ask,3,2.0,4,4,True,10,1,10.5
passive_aware_ask,3,2.0,4,5,True,14,3,15.5
passive_aware_ask,3,2.0,4,6,False,12,0,12.0
passive_aware_ask,3,2.0,4,7,True,4,0,4.0
passive_aware_ask,3,2.0,4,8,True,10,2,11.0
passive_aware_ask,3,2.0,4,9,True,4,1,4.5
passive_aware_ask,3,2.0,4,10,True,10,1,10.5
passive_aware_ask,3,2.0,4,11,True,8,1,8.5
passive_aware_ask,3,2.0,4,12,True,3,1,3.5
passive_aware_ask,3,2.0,4,13,True,3,1,3.5
passive_aware_ask,3,2.0,4,14,True,8,1,8.5
passive_aware_ask,3,2.0,4,15,True,11,1,11.5
passive_aware_ask,3,2.0,4,16,True,12,1,12.5
passive_aware_ask,3,2.0,4,17,True,2,0,2.0
passive_aware_ask,3,2.0,4,18,True,3,1,3.5
passive_aware_ask,3,2.0,4,19,True,10,0,10.0
cost_wait_ask,3,2.0,0,0,True,7,0,7.0
cost_wait_ask,3,2.0,0,1,False,8,1,8.5
cost_wait_ask,3,2.0,0,2,True,12,0,12.0
cost_wait_ask,3,2.0,0,3,True,12,1,12.5
cost_wait_ask,3,2.0,0,4,True,12,0,12.0
cost_wait_ask,3,2.0,0,5,True,12,0,12.0
cost_wait_ask,3,2.0,0,6,True,8,0,8.0
cost_wait_ask,3,2.0,0,7,True,4,1,4.5
cost_wait_ask,3,2.0,0,8,True,4,0,4.0
cost_wait_ask,3,2.0,0,9,True,9,0,9.0
cost_wait_ask,3,2.0,0,10,True,9,0,9.0
cost_wait_ask,3,2.0,0,11,True,10,0,10.0
cost_wait_ask,3,2.0,0,12,True,11,1,11.5
cost_wait_ask,3,2.0,0,13,True,10,1,10.5
cost_wait_ask,3,2.0,0,14,True,14,0,14.0
cost_wait_ask,3,2.0,0,15,True,8,2,9.0
cost_wait_ask,3,2.0,0,16,True,12,0,12.0
cost_wait_ask,3,2.0,0,17,True,6,0,6.0
cost_wait_ask,3,2.0,0,18,True,9,1,9.5
cost_wait_ask,3,2.0,0,19,True,10,1,10.5
cost_wait_ask,3,2.0,1,0,True,5,1,5.5
cost_wait_ask,3,2.0,1,1,True,11,0,11.0
cost_wait_ask,3,2.0,1,2,True,8,0,8.0
cost_wait_ask,3,2.0,1,3,True,7,1,7.5
cost_wait_ask,3,2.0,1,4,True,11,1,11.5
cost_wait_ask,3,2.0,1,5,True,10,0,10.0
cost_wait_ask,3,2.0,1,6,True,10,0,10.0
cost_wait_ask,3,2.0,1,7,True,3,1,3.5
cost_wait_ask,3,2.0,1,8,True,11,1,11.5
cost_wait_ask,3,2.0,1,9,True,9,1,9.5
cost_wait_ask,3,2.0,1,10,True,8,0,8.0
cost_wait_ask,3,2.0,1,11,True,12,0,12.0
cost_wait_ask,3,2.0,1,12,True,8,1,8.5
cost_wait_ask,3,2.0,1,13,True,14,0,14.0
cost_wait_ask,3,2.0,1,14,True,4,1,4.5
cost_wait_ask,3,2.0,1,15,True,6,0,6.0
cost_wait_ask,3,2.0,1,16,True,5,1,5.5
cost_wait_ask,3,2.0,1,17,True,4,1,4.5
cost_wait_ask,3,2.0,1,18,True,8,0,8.0
cost_wait_ask,3,2.0,1,19,True,5,1,5.5
cost_wait_ask,3,2.0,2,0,True,6,1,6.5
cost_wait_ask,3,2.0,2,1,True,8,1,8.5
cost_wait_ask,3,2.0,2,2,True,6,1,6.5
cost_wait_ask,3,2.0,2,3,True,8,1,8.5
cost_wait_ask,3,2.0,2,4,False,15,1,15.5
cost_wait_ask,3,2.0,2,5,True,10,0,10.0
cost_wait_ask,3,2.0,2,6,True,10,0,10.0
cost_wait_ask,3,2.0,2,7,True,10,1,10.5
cost_wait_ask,3,2.0,2,8,True,9,1,9.5
cost_wait_ask,3,2.0,2,9,True,9,1,9.5
cost_wait_ask,3,2.0,2,10,False,12,1,12.5
cost_wait_ask,3,2.0,2,11,True,7,1,7.5
cost_wait_ask,3,2.0,2,12,True,5,1,5.5
cost_wait_ask,3,2.0,2,13,True,5,1,5.5
cost_wait_ask,3,2.0,2,14,True,8,1,8.5
cost_wait_ask,3,2.0,2,15,True,7,1,7.5
cost_wait_ask,3,2.0,2,16,True,7,1,7.5
cost_wait_ask,3,2.0,2,17,True,10,1,10.5
cost_wait_ask,3,2.0,2,18,True,9,0,9.0
cost_wait_ask,3,2.0,2,19,True,3,1,3.5
cost_wait_ask,3,2.0,3,0,True,5,2,6.0
cost_wait_ask,3,2.0,3,1,True,5,1,5.5
cost_wait_ask,3,2.0,3,2,True,4,1,4.5
cost_wait_ask,3,2.0,3,3,True,5,1,5.5
cost_wait_ask,3,2.0,3,4,True,13,0,13.0
cost_wait_ask,3,2.0,3,5,True,13,0,13.0
cost_wait_ask,3,2.0,3,6,True,10,0,10.0
cost_wait_ask,3,2.0,3,7,True,11,1,11.5
cost_wait_ask,3,2.0,3,8,True,8,0,8.0
cost_wait_ask,3,2.0,3,9,True,9,0,9.0
cost_wait_ask,3,2.0,3,10,True,6,1,6.5
cost_wait_ask,3,2.0,3,11,True,15,1,15.5
cost_wait_ask,3,2.0,3,12,True,10,1,10.5
cost_wait_ask,3,2.0,3,13,True,9,0,9.0
cost_wait_ask,3,2.0,3,14,True,4,0,4.0
cost_wait_ask,3,2.0,3,15,True,7,1,7.5
cost_wait_ask,3,2.0,3,16,True,10,0,10.0
cost_wait_ask,3,2.0,3,17,True,4,1,4.5
cost_wait_ask,3,2.0,3,18,True,8,1,8.5
cost_wait_ask,3,2.0,3,19,True,9,1,9.5
cost_wait_ask,3,2.0,4,0,True,3,0,3.0
cost_wait_ask,3,2.0,4,1,True,7,2,8.0
cost_wait_ask,3,2.0,4,2,True,6,0,6.0
cost_wait_ask,3,2.0,4,3,True,11,0,11.0
cost_wait_ask,3,2.0,4,4,True,10,1,10.5
cost_wait_ask,3,2.0,4,5,True,11,0,11.0
cost_wait_ask,3,2.0,4,6,False,12,0,12.0
cost_wait_ask,3,2.0,4,7,True,4,0,4.0
cost_wait_ask,3,2.0,4,8,True,10,1,10.5
cost_wait_ask,3,2.0,4,9,True,4,1,4.5
cost_wait_ask,3,2.0,4,10,True,10,1,10.5
cost_wait_ask,3,2.0,4,11,True,8,1,8.5
cost_wait_ask,3,2.0,4,12,True,3,1,3.5
cost_wait_ask,3,2.0,4,13,True,3,1,3.5
cost_wait_ask,3,2.0,4,14,True,8,1,8.5
cost_wait_ask,3,2.0,4,15,True,11,1,11.5
cost_wait_ask,3,2.0,4,16,True,12,1,12.5
cost_wait_ask,3,2.0,4,17,True,2,0,2.0
cost_wait_ask,3,2.0,4,18,True,3,1,3.5
cost_wait_ask,3,2.0,4,19,True,10,0,10.0
never_ask,3,2.0,0,0,True,7,0,7.0
never_ask,3,2.0,0,1,True,5,0,5.0
never_ask,3,2.0,0,2,True,12,0,12.0
never_ask,3,2.0,0,3,True,13,0,13.0
never_ask,3,2.0,0,4,True,12,0,12.0
never_ask,3,2.0,0,5,True,12,0,12.0
never_ask,3,2.0,0,6,True,8,0,8.0
never_ask,3,2.0,0,7,True,3,0,3.0
never_ask,3,2.0,0,8,True,4,0,4.0
never_ask,3,2.0,0,9,True,9,0,9.0
never_ask,3,2.0,0,10,True,9,0,9.0
never_ask,3,2.0,0,11,True,10,0,10.0
never_ask,3,2.0,0,12,True,10,0,10.0
never_ask,3,2.0,0,13,True,9,0,9.0
never_ask,3,2.0,0,14,True,14,0,14.0
never_ask,3,2.0,0,15,True,8,0,8.0
never_ask,3,2.0,0,16,True,12,0,12.0
never_ask,3,2.0,0,17,True,6,0,6.0
never_ask,3,2.0,0,18,True,8,0,8.0
never_ask,3,2.0,0,19,True,9,0,9.0
never_ask,3,2.0,1,0,True,6,0,6.0
never_ask,3,2.0,1,1,True,11,0,11.0
never_ask,3,2.0,1,2,True,8,0,8.0
never_ask,3,2.0,1,3,False,9,0,9.0
never_ask,3,2.0,1,4,True,13,0,13.0
never_ask,3,2.0,1,5,True,10,0,10.0
never_ask,3,2.0,1,6,True,10,0,10.0
never_ask,3,2.0,1,7,True,2,0,2.0
never_ask,3,2.0,1,8,True,13,0,13.0
never_ask,3,2.0,1,9,True,8,0,8.0
never_ask,3,2.0,1,10,True,8,0,8.0
never_ask,3,2.0,1,11,True,12,0,12.0
never_ask,3,2.0,1,12,True,9,0,9.0
never_ask,3,2.0,1,13,True,14,0,14.0
never_ask,3,2.0,1,14,True,3,0,3.0
never_ask,3,2.0,1,15,True,6,0,6.0
never_ask,3,2.0,1,16,True,4,0,4.0
never_ask,3,2.0,1,17,True,3,0,3.0
never_ask,3,2.0,1,18,True,8,0,8.0
never_ask,3,2.0,1,19,True,4,0,4.0
never_ask,3,2.0,2,0,True,5,0,5.0
never_ask,3,2.0,2,1,True,7,0,7.0
never_ask,3,2.0,2,2,True,5,0,5.0
never_ask,3,2.0,2,3,True,7,0,7.0
never_ask,3,2.0,2,4,True,13,0,13.0
never_ask,3,2.0,2,5,True,10,0,10.0
never_ask,3,2.0,2,6,True,10,0,10.0
never_ask,3,2.0,2,7,True,12,0,12.0
never_ask,3,2.0,2,8,True,8,0,8.0
never_ask,3,2.0,2,9,True,10,0,10.0
never_ask,3,2.0,2,10,True,11,0,11.0
never_ask,3,2.0,2,11,True,8,0,8.0
never_ask,3,2.0,2,12,True,4,0,4.0
never_ask,3,2.0,2,13,True,6,0,6.0
never_ask,3,2.0,2,14,True,9,0,9.0
never_ask,3,2.0,2,15,True,9,0,9.0
never_ask,3,2.0,2,16,True,9,0,9.0
never_ask,3,2.0,2,17,True,9,0,9.0
never_ask,3,2.0,2,18,True,9,0,9.0
never_ask,3,2.0,2,19,True,4,0,4.0
never_ask,3,2.0,3,0,True,3,0,3.0
never_ask,3,2.0,3,1,False,7,0,7.0
never_ask,3,2.0,3,2,True,3,0,3.0
never_ask,3,2.0,3,3,True,4,0,4.0
never_ask,3,2.0,3,4,True,13,0,13.0
never_ask,3,2.0,3,5,True,13,0,13.0
never_ask,3,2.0,3,6,True,10,0,10.0
never_ask,3,2.0,3,7,True,10,0,10.0
never_ask,3,2.0,3,8,True,8,0,8.0
never_ask,3,2.0,3,9,True,9,0,9.0
never_ask,3,2.0,3,10,True,5,0,5.0
never_ask,3,2.0,3,11,False,15,0,15.0
never_ask,3,2.0,3,12,True,9,0,9.0
never_ask,3,2.0,3,13,True,9,0,9.0
never_ask,3,2.0,3,14,True,4,0,4.0
never_ask,3,2.0,3,15,True,10,0,10.0
never_ask,3,2.0,3,16,True,10,0,10.0
never_ask,3,2.0,3,17,True,3,0,3.0
never_ask,3,2.0,3,18,True,7,0,7.0
never_ask,3,2.0,3,19,True,11,0,11.0
never_ask,3,2.0,4,0,True,3,0,3.0
never_ask,3,2.0,4,1,True,7,0,7.0
never_ask,3,2.0,4,2,True,6,0,6.0
never_ask,3,2.0,4,3,True,11,0,11.0
never_ask,3,2.0,4,4,True,9,0,9.0
never_ask,3,2.0,4,5,True,11,0,11.0
never_ask,3,2.0,4,6,False,12,0,12.0
never_ask,3,2.0,4,7,True,4,0,4.0
never_ask,3,2.0,4,8,False,12,0,12.0
never_ask,3,2.0,4,9,True,3,0,3.0
never_ask,3,2.0,4,10,True,9,0,9.0
never_ask,3,2.0,4,11,True,10,0,10.0
never_ask,3,2.0,4,12,True,2,0,2.0
never_ask,3,2.0,4,13,True,4,0,4.0
never_ask,3,2.0,4,14,True,7,0,7.0
never_ask,3,2.0,4,15,False,11,0,11.0
never_ask,3,2.0,4,16,True,15,0,15.0
never_ask,3,2.0,4,17,True,2,0,2.0
never_ask,3,2.0,4,18,False,7,0,7.0
never_ask,3,2.0,4,19,True,10,0,10.0
info_gain_ask,3,2.0,0,0,True,6,1,6.5
info_gain_ask,3,2.0,0,1,False,8,1,8.5
info_gain_ask,3,2.0,0,2,True,14,2,15.0
info_gain_ask,3,2.0,0,3,True,12,1,12.5
info_gain_ask,3,2.0,0,4,True,14,2,15.0
info_gain_ask,3,2.0,0,5,True,13,1,13.5
info_gain_ask,3,2.0,0,6,True,11,2,12.0
info_gain_ask,3,2.0,0,7,True,4,1,4.5
info_gain_ask,3,2.0,0,8,True,5,1,5.5
info_gain_ask,3,2.0,0,9,True,11,2,12.0
info_gain_ask,3,2.0,0,10,True,11,2,12.0
info_gain_ask,3,2.0,0,11,True,11,1,11.5
info_gain_ask,3,2.0,0,12,True,11,1,11.5
info_gain_ask,3,2.0,0,13,True,11,2,12.0
info_gain_ask,3,2.0,0,14,True,16,2,17.0
info_gain_ask,3,2.0,0,15,True,8,2,9.0
info_gain_ask,3,2.0,0,16,False,16,1,16.5
info_gain_ask,3,2.0,0,17,True,7,1,7.5
info_gain_ask,3,2.0,0,18,True,12,2,13.0
info_gain_ask,3,2.0,0,19,True,11,2,12.0
info_gain_ask,3,2.0,1,0,True,6,2,7.0
info_gain_ask,3,2.0,1,1,True,12,1,12.5
info_gain_ask,3,2.0,1,2,True,8,2,9.0
info_gain_ask,3,2.0,1,3,True,6,2,7.0
info_gain_ask,3,2.0,1,4,True,12,2,13.0
info_gain_ask,3,2.0,1,5,False,11,2,12.0
info_gain_ask,3,2.0,1,6,True,12,2,13.0
info_gain_ask,3,2.0,1,7,True,3,1,3.5
info_gain_ask,3,2.0,1,8,True,11,1,11.5
info_gain_ask,3,2.0,1,9,True,9,1,9.5
info_gain_ask,3,2.0,1,10,True,9,1,9.5
info_gain_ask,3,2.0,1,11,True,14,2,15.0
info_gain_ask,3,2.0,1,12,True,7,2,8.0
info_gain_ask,3,2.0,1,13,True,14,1,14.5
info_gain_ask,3,2.0,1,14,True,4,1,4.5
